,5919806fc15d4a3a2199e65c,5919806fc15d4a3a2199e65d,5919806fc15d4a3a2199e660,5919806fc15d4a3a2199e661,5919806fc15d4a3a2199e662
0,,,,0,
1,,,0,0,
2,,,,0,0
3,,0,0,0,
4,0,0,,0,0
5,,,0,0,
6,,,0,0,
7,,,1,,
8,0,0,,,
9,,,1,0,
10,0,0,,,
11,0,,0,,0
12,1,,3,,
13,0,0,1,,1
14,1,0,,,0
15,,0,,0,
16,0,0,0,,
17,,,,0,0
18,3,0,,,0
19,,0,0,0,
20,0,0,0,,
21,,0,,,1
22,,0,,0,0
23,,0,,0,0
24,,,0,0,1
25,3,2,1,0,0
26,1,,0,0,1
27,0,0,0,,
28,0,0,0,,
29,2,,0,0,2
30,3,,,1,2
31,,,1,0,2
32,3,,,0,1
33,0,,,,
34,,2,0,,0
35,1,2,3,,2
36,0,,1,,
37,1,0,,0,
38,0,,,,4
39,,0,0,,
40,,,2,0,
41,,0,2,0,
42,,0,0,,
43,0,,0,0,0
44,,,,,1
45,0,,0,0,0
